impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K17-097725,A523334,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1695199,LOST,Riley,Dog,,Male,Golden Retriever,Unknown,04/03/2017 12:00:00 AM,Date Lost,WILLOWS RIDGE NEIGHBORHOOD 143RD CT NE,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1695199,Image Copyright HLP Inc. 2017,"WILLOWS RIDGE NEIGHBORHOOD 143RD CT NE
",
K17-097928,A524222,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1700097,LOST,Abby,Dog,,Female,Beagle,Unknown,04/14/2017 12:00:00 AM,Date Lost,160TH ST. AND 42ND AVE. S,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1700097,Image Copyright HLP Inc. 2017,"160TH ST. AND 42ND AVE. S
",
K17-097799,A523667,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1696857,In Public Home,,Dog,,,Siberian Husky,White,04/07/2017 12:00:00 AM,Date Found,00 4TH AVE,KIRKLAND,WA,98033,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1696857,Image Copyright HLP Inc. 2017,"00 4TH AVE
KIRKLAND, WA 98033
",
K17-097644,A523127,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1693710,LOST,Cabela,Dog,,Female,Labrador Retriever,Unknown,03/30/2017 12:00:00 AM,Date Lost,14900 SE 309TH ST,KENT,WA,98042,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1693710,Image Copyright HLP Inc. 2017,"14900 SE 309TH ST
KENT, WA 98042
",
K17-097912,A524139,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1699438,LOST,Simha,Cat,,Male,Maine Coon,Unknown,03/26/2017 12:00:00 AM,Date Lost,RICHMOND BEACH RD NW AND 8TH AVE NW,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1699438,Image Copyright HLP Inc. 2017,"RICHMOND BEACH RD NW AND 8TH AVE NW
",
K17-097792,A523658,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1696622,LOST,Ezra,Dog,,Male,Papillon,Unknown,04/03/2017 12:00:00 AM,Date Lost,129TH AND GOODNOUGH,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1696622,Image Copyright HLP Inc. 2017,"129TH AND GOODNOUGH
",
K17-097887,A524042,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1699103,LOST,Momo,Cat,,Male,Domestic Shorthair,Unknown,04/09/2017 12:00:00 AM,Date Lost,22300 SE 244TH PL,MAPLE VALLEY,WA,98038,MAPLE VALLEY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1699103,Image Copyright HLP Inc. 2017,"22300 SE 244TH PL
MAPLE VALLEY, WA 98038
",
K17-098115,A524757,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1704218,LOST,Maya,Dog,,Female,Labrador Retriever,Unknown,04/24/2017 12:00:00 AM,Date Lost,100 9TH AVE,KIRKLAND,WA,98033,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1704218,Image Copyright HLP Inc. 2017,"100 9TH AVE
KIRKLAND, WA 98033
",
K17-097977,A524406,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1701325,LOST,,Dog,,Male,Labrador Retriever,Unknown,04/17/2017 12:00:00 AM,Date Lost,2300 27TH PL SE,AUBURN,WA,98002,AUBURN,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1701325,Image Copyright HLP Inc. 2017,"2300 27TH PL SE
AUBURN, WA 98002
",
K17-097780,A523610,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1696422,LOST,Indy,Dog,,Male,Samoyed,Unknown,04/06/2017 12:00:00 AM,Date Lost,30600 SE 64TH ST,ISSAQUAH,WA,98027,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1696422,Image Copyright HLP Inc. 2017,"30600 SE 64TH ST
ISSAQUAH, WA 98027
",
