NMML #,FAMILY,GENUS,SPECIES,SUBSPECIES,COLLECTION DATE,COUNTRY,STATE,ISLAND GRP,LOCATION,OCEAN,SEA,OTHER,LAT,N/S,LONG,E/W,COLLECTOR 1,Other COLLECTORS,COLLECTOR #,SOURCE,DATE Cataloged,SEX,AGE,TLength Fld,TLength Lab,WEIGHT (Kg),SpecimenType,OCCUR,SpecimenCondition,SpecimenDisposition,SpecimenLocation,Availability,AdditionalDATA,DATALOC1,DATALOC2,REMARKS
NMML0001,Ziphiidae,Mesoplodon,stejnegeri,,20-May-68,USA,Alaska,,,Pacific,,Gulf of Alaska,5704,N,13632,W,"Fiscus, C.H.","Johnson, A.M.",1968-68,Pelagic Fur Seal Inv,23-Jun-80,M,,(370-460)*,,,G,,,,,,y,files,,"*TL converted from estimate of 12-15ft., collected from M/V New St. Joseph"
NMML0002,Ziphiidae,Mesoplodon,stejnegeri,,28-Jun-79,USA,Alaska,Aleutian Islands,Tanaga Island,North Pacific,,Tanaga Bay,514630,N,1780100,W,"Loughlin, T.R.","Johnson, A.; Rugh, D.",BDM 618,,23-Jun-80,U,,(468)*,,,M,2,4,,Museum,,n,,,TL converted.
NMML0003,Ziphiidae,Mesoplodon,stejnegeri,,28-Jun-79,USA,Alaska,Aleutian Islands,Tanaga Island,North Pacific,,Tanaga Bay,514630,N,1780100,W,"Loughlin, T.R.","Johnson, A., Rugh, D.",BDM 619,,23-Jun-80,U,,(505)*,,,M,2,4,,Museum,,n,,,TL converted.
NMML0004,Ziphiidae,Ziphius,cavirostris,,7-Jun-68,USA,Alaska,Aleutian Islands,Alkun Island,North Pacific,,Trident Bay,540900,N,1653300,W,"Fiscus, C.H.","Johnson, A.",1968-69,Pelagic Fur Seal Pro,23-Jun-80,U,,,,,G,2,5,,Museum,,y,file,,No mandibles.
NMML0005,Ziphiidae,Ziphius,cavirostris,,8-Feb-65,,,,,North Pacific,,,230000,N,1101600,W,"Rice, D.W.",et. al.,1192,Whale Research Group,23-Jun-80,M,,315,,,G,1,1,,Museum,,y,file,,
NMML0006,Ziphiidae,Ziphius,cavirostris,,,,,,,,,,,,,,,,,,23-Jun-80,U,,,,,?,4,5,,Museum,,n,,,
NMML0007,Ziphiidae,Berardius,bairdii,,2-Oct-65,,,,,North Pacific,,,374400,N,1231800,W,"Wolman, A.A.","Rice, D.W.",1965-119,Golden Gate Fish Co,23-Jun-80,M,,(999)*,,,G,1,1,,Museum,,y,file,,"TL converted from 32' 9""."
NMML0008,Ziphiidae,Berardius,bairdii,,2-Oct-65,,,,,North Pacific,,,374400,N,1231800,W,"Wolman, A.A.","Rice, D.W.",1965-120,Golden Gate Fish Co,23-Jun-80,M,,(1017)*,,,G,1,1,,Museum,,y,file,,"TL converted from 33' 4""."
NMML0009,Ziphiidae,Berardius,bairdii,,15-Nov-78,USA,Alaska,Aleutian Islands,Unimak Island,North Pacific,Bering Sea,,543936,N,1644300,W,"Rugh, D.","Taber, A.",,,23-Jun-80,U,,,,,M,2,5,,Museum,,y,photo/file,,No mandibles.
NMML0010,Ziphiidae,Berardius,bairdii,,5-Sep-79,,,,,North Pacific,,,550200,N,1674600,W,"Cacela, D.",,1979-3,,23-Jun-80,U,,,,,G,5,5,,Museum,,y,file,,"No mandibles, Cruise #375, Eikyu Maru, skull only caught in trawl."
NMML0011,Ziphiidae,Berardius,bairdii,,1977,USA,Alaska,Pribilof Islands,St. Paul Island,North Pacific,,,,,,,"Stroud, R.K.",,1979,,23-Jun-80,M,,(1036.3)*,,,G,2,5,,Museum,,y,Coll notes,,TL converted from estimate of 34 ft.
NMML0012,Physeteridae,Physeter,macrocephalus,,7-Nov-68,,,,,Pacific,,,373800,N,1234500,W,"Lenheim, B.",,1968-235,Del Monte Food Co,23-Jun-80,F,,(432)*,,,G,1,1,,Museum,,y,file,,"TL converted from 14' 2""."
NMML0013,Kogiidae,Kogia,breviceps,,30-Dec-69,USA,California,Santa Cruz,S.C. 17th Ave Beach,Pacific,,,,,,,"DeLong, R.L.",,1969-205,,23-Jun-80,F,,(320)*,,,G,2,5,,Museum,,y,file,,"TL converted from 10' .5""."
NMML0014,Delphinidae,Stenella,attenuata,,18-Feb-65,,,,,North Pacific,,,212100,N,1053000,W,"Balcomb, K.C.",,1965-1,Whale Research Pro,23-Jun-80,F,,206,,81,G,1,1,,Museum,,y,file,,Vessel was Sioux City.
NMML0015,Delphinidae,Stenella,attenuata,,21-Feb-66,,,,,Pacific,,,225800,N,1062100,W,"Rice, D.W.","Balcomb, K.",1966-3,Whale Research Pro,23-Jun-80,M,,206,,76,G,1,1,,Museum,,y,file,,
NMML0016,Delphinidae,Stenella,longirostris,,28-Mar-64,USA,Hawaii,Hawaiian Islands,Oaku Island,Pacific,,Pokai Bay,,,,,Waikiki Aquarium,,1194,Waikiki Aquarium,23-Jun-80,F,,172,,,G,1,1,,Museum,,y,file,,Received from Waikiki Aquarium APR 1965.
NMML0017,Delphinidae,Stenella,longirostris,,1965,Costa Rica,,,unknown *,North Pacific,,,,,,,"Rice, D.W.","Wolman, A.",1965-149,American Whole. Groc,23-Jun-80,M,,174,,52,G,4,5,,Museum,,y,file,,Received from American Wholesale Groc.  on 16 NOV 1965.  Location questionable.
NMML0018,Delphinidae,Stenella,longirostris,,17-Feb-67,,,,,Pacific,,,214300,N,1064700,W,"Rice, D.W.","Kasuya, T.",1967-102,Whale Research Pro,23-Jun-80,F,,(166)*,,,G,1,1,,Museum,,y,file,,"TL converted from 65.25""."
NMML0019,Delphinidae,Delphinus,delphis,,22-Feb-59,,,,,North Pacific,,,353100,N,1213500,W,"Fiscus, C.H.",,TAC-59-3B,Pelagic Fur Seal Pro,23-Jun-80,F,,,,78.5,G,1,1,,Museum,,y,file,,Vessel was the Tacoma
NMML0020,Delphinidae,Delphinus,delphis,,20-Mar-59,,,,,Pacific,,,355200,N,1213100,W,"Juelson, T.",,MS-59-4B,Pelagic Fur Seal Pro,23-Jun-80,M,,,,,G,1,1,,Museum,,y,file,,Vessel was the Morning Star.
NMML0021,Delphinidae,Delphinus,delphis,,18-Nov-62,,,,,Pacific,,,324000,N,1180000,E,"Rice, D.W.","McIntyre, T.",761,Whale Research Pro,23-Jun-80,M,,191,,,G,1,1,,Museum,,y,file,,
NMML0022,Delphinidae,Delphinus,delphis,,12-Jan-64,,,,,Pacific,,,333000,N,1181700,W,"Rice, D.W.",et. al.,987,Whale Research Pro,23-Jun-80,F,,178,,63,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
